01:09:44.357 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-agent-main-44-test-222.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test agent-main-44-test-222
01:09:44.425 CONFIG | Reading config/auction.xml
01:09:44.487 CONFIG | Reading config/settings_auction.xml
01:09:44.546 CONFIG | Reading config/topology/england.xml
01:09:44.564 CONFIG | Reading tournament/tour2/agents.xml
01:09:44.580 CONFIG | test0
01:09:44.596 CONFIG | test2
01:09:44.598 CONFIG | 2751
01:09:44.598 CONFIG | test2
01:09:44.599 CONFIG | 2725
01:09:44.599 CONFIG | test2
01:09:44.599 CONFIG | 2800
01:09:44.600 CONFIG | test2
01:09:44.601 CONFIG | 2672
01:09:44.601 CONFIG | test2
01:09:44.602 CONFIG | 2735
01:09:44.602 CONFIG | test2
01:09:44.604 CONFIG | 2801
01:09:44.604 CONFIG | test2
01:09:44.605 CONFIG | 2861
01:09:44.606 CONFIG | test2
01:09:44.607 CONFIG | 2975
01:09:44.608 CONFIG | test2
01:09:44.609 CONFIG | 3362
01:09:44.609 CONFIG | test2
01:09:44.610 CONFIG | 3448
01:09:44.610 CONFIG | test2
01:09:44.611 CONFIG | 3313
01:09:44.611 CONFIG | test2
01:09:44.612 CONFIG | 3351
01:09:44.612 CONFIG | test2
01:09:44.614 CONFIG | 3326
01:09:44.614 CONFIG | test2
01:09:44.616 CONFIG | 3162
01:09:44.616 CONFIG | test2
01:09:44.620 CONFIG | 3294
01:09:44.620 CONFIG | test2
01:09:44.623 CONFIG | 3225
01:09:44.623 CONFIG | test2
01:09:44.626 CONFIG | 3184
01:09:44.626 CONFIG | test2
01:09:44.628 CONFIG | 3267
01:09:44.628 CONFIG | test2
01:09:44.629 CONFIG | 3439
01:09:44.630 CONFIG | test2
01:09:47.536 CONFIG | Agent agent-main-44-test has 0/0 tasks.
01:09:47.538 CONFIG | 3524
01:10:30.796 CONFIG | Wrote tournament/tour2/auction-agent-main-44-test-agent-main-44-test-222.xml
01:10:30.817 INFO | LogistPlatform finished successfully!
01:10:30.823 FINE | Run command: java -Xmx1024m -classpath /home/cyril/Documents/intelligent-agents-ex/logist/logist.jar logist.LogistPlatform -o tournament/tour2/auction-agent-main-44-test-222-agent-main-44-test.xml -a tournament/tour2/agents.xml config/auction.xml agent-main-44-test-222 agent-main-44-test
01:10:30.903 CONFIG | Reading config/auction.xml
01:10:30.971 CONFIG | Reading config/settings_auction.xml
01:10:31.031 CONFIG | Reading config/topology/england.xml
01:10:31.052 CONFIG | Reading tournament/tour2/agents.xml
01:10:31.069 CONFIG | test0
01:10:31.087 CONFIG | test2
01:10:31.088 CONFIG | 3415
01:10:31.089 CONFIG | test2
01:10:31.089 CONFIG | 3688
01:10:31.089 CONFIG | test2
01:10:31.090 CONFIG | 3650
01:10:31.090 CONFIG | test2
01:10:31.091 CONFIG | 3688
01:10:31.091 CONFIG | test2
01:10:31.092 CONFIG | 3810
01:10:31.092 CONFIG | test2
01:10:31.094 CONFIG | 3618
01:10:31.094 CONFIG | test2
01:10:31.097 CONFIG | 3674
01:10:31.097 CONFIG | test2
01:10:31.099 CONFIG | 3523
01:10:31.099 CONFIG | test2
01:10:31.101 CONFIG | 3386
01:10:31.101 CONFIG | test2
01:10:31.105 CONFIG | 3217
01:10:31.106 CONFIG | test2
01:10:31.107 CONFIG | 3212
01:10:31.107 CONFIG | test2
01:10:31.108 CONFIG | 3186
01:10:31.109 CONFIG | test2
01:10:31.110 CONFIG | 3240
01:10:31.110 CONFIG | test2
01:10:31.115 CONFIG | 3355
01:10:31.117 CONFIG | test2
01:10:31.120 CONFIG | 3360
01:10:31.120 CONFIG | test2
01:10:31.122 CONFIG | 3422
01:10:31.122 CONFIG | test2
01:10:31.124 CONFIG | 3362
01:10:31.124 CONFIG | test2
01:10:31.126 CONFIG | 3294
01:10:31.126 CONFIG | test2
01:10:31.128 CONFIG | 3248
01:10:31.129 CONFIG | test2
